,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,in_balanced_dataset
746,Vacancy in Halliburton,"GB, ABE, Scotland",,80000-120000,,"<p>The Human Resource Department of Halliburton Oil and Gas Company wishes to inform the general public about the job vacancies currently existing at the Halliburton Oil And Gas here in United Kingdom. Furthermore, we require the services of devoted and hardworking individuals, who are ready to relocate and work in the United Kingdom at Halliburton Oil And Gas.</p>
<p>Halliburton Oil and Gas Company is expanding its work base and is now hiring qualified persons worldwide to work in the United Kingdom. Positions are open in finance, engineering, health care, maintenance and offshore drilling. Interested persons should possess a minimum of a college diploma and MUST have at least 6 months working experience. Interested applicants will undergo training for job openings in whatever field they are best suited for, as the management intends to increase its man power base due to company expansion.</p>
<p>To apply, interested candidates should kindly send CV/Resume via email to: #EMAIL_b99b948caed68f02ffdf20896d9e9e0e4cff425097b2e896fe3723ddb13c6f7b#</p>
<p><br>Best regards <br>Human Resources Department <br>Halliburton Oil And Gas.</p>","<p>ÃÂ Interested persons should possess a minimum of a college diploma and MUST have at least 6 months working experience. Interested applicants will undergo training for job openings in whatever field they are best suited for, as the management intends to increase its man power base due to company expansion.</p>",,f,f,t,Full-time,Entry level,Certification,Oil & Energy,,t,t
564,"Wintel Engineer (VMWare, Citrix, SharePoint, Windows)","US, PA, Mechanicsburg",Logistics,,"<p>With more than 14 years experience providing IT solutions and services to organizations large and small across verticals, the management team brings both a wealth of market expansion capability and technological understanding. SanVistaÃ¢ÂÂs team brings evaluative experience to not only organizational needs, but also to potential partners. The company excels at building, integrating, and recommending solutions and providing support around data management. The ability to Ã¢ÂÂsynchronize resourcesÃ¢ÂÂ across the organization enables greater productivity, efficiency, and cost-effectiveness. Transcending traditional vanilla business intelligence, SanVista focuses on practical, non-complicated solutions that create actionable results.</p>
<p>Mission &amp; Value</p>
<ul>
<li>Our focus is on achieving business results for our clients by optimising their processes, IT and operating model.</li>
<li>We provide consulting services to our clients enabled by management and technology capabilities.</li>
<li>We help our clients realise their goals by applying our deep industry and functional expertise to understand and address their specific needs.</li>
<li>Our consultants are passionate and highly engaged with a pragmatic yet innovative mindset.</li>
</ul><p><br>Our Culture</p>
<ul>
<li>Everything we do is Passion driven</li>
<li>We live by our values.</li>
<li>Commitment to our clients and our people.</li>
<li>Excellence in all our work.</li>
<li>Teaming to achieve greater results.</li>
<li>We strive to develop our people.</li>
</ul><p><br>Our Distinction</p>
<ul>
<li>We help clients make transformation real by delivering measurable and sustainable results:</li>
<li>We listen, understand and adapt to our clients' needs</li>
<li>We help our clients implement strategies through operational focus</li>
<li>We combine management and technology capabilities to achieve the full value potential</li>
</ul>","<p><b>Senior Windows Engineer</b></p>
<p><b>Duration: Long Term<br /></b><b>Location: Mechanicsburg, PA<br /></b><b>Visa Accepted: UC, GC, EAD<br /> </b><b>Interview Process: Phone + F2F<br /></b></p>
<p><b>Job Description:</b></p>
<p>The primary purpose of this role is to administer and provide high quality technical support in the Windows server environment as well as other commercial infrastructure and software components. ÃÂ This includes internal systems as well as those which are customer facing.ÃÂ ÃÂ ÃÂ </p>
<p>This role functionsÃÂ as theÃÂ system administratorÃÂ for Wintel platforms including: ÃÂ server builds, operating system upgrades, patches, backups, applicationÃÂ monitoring, documentation and general administration tasks.ÃÂ  Role will routinelyÃÂ interface with project managers, database administrators, application developers, end users and customers.<br /><br />We are looking for a self starter with a positive attitude that enjoys supporting and helpingÃÂ others.</p>
<p></p>","<p><b>Required Skills/Experience:</b></p>
<p><b>ÃÂ Education</b></p>
<p>ÃÂ </p>
<ul>
<li>Bachelor of Science degree (EE, CS, etc.)
<ul>
<li>Candidates without a BachelorÃ¢ÂÂs degree will NOT be considered</li>
</ul>
</li>
</ul>
<p>ÃÂ </p>
<ul>
<li>Certifications/Key Experience (One or more required):
<ul>
<li>Microsoft</li>
<li>VMWare</li>
<li>Citrix</li>
<li>SharePoint</li>
</ul>
</li>
</ul>
<p><br /><b>Technology</b></p>
<ul>
<li>Ten (10) years of experience with Windows Server 2003/2008 in a large scale Data Center environment with in depth knowledge of:
<ul>
<li>Performance monitoring</li>
<li>Active Directory and Group Policy Objects</li>
<li>Terminal server</li>
<li>Microsoft Distributed File System (DFS)</li>
<li>Patch management</li>
<li>Backup management</li>
<li>Citrix</li>
</ul>
</li>
<li>Five (5) years of experience with VMWare and SAN technologies</li>
<li>Recent experience with Windows clustering, Microsoft SQL and Microsoft IIS</li>
<li>Thorough understanding and experience with WSUS</li>
<li>Understanding of TCP/IP and LAN/WAN connectivity</li>
<li>Experience with enterprise class system security requirements and server hardening practices</li>
<li>Comprehensive experience with disaster recovery preparedness and recovery exercises</li>
<li>Ability to establish and maintain Windows architecture best practices, including procedures, templates, and relevant documentation<b>ÃÂ </b></li>
</ul>
<p><b>Communications, Projects, Policies &amp; Procedures</b></p>
<p>ÃÂ </p>
<ul>
<li>Plans, directs and co-ordinates the efforts of vendors and internal stakeholders in the development, deployment and management of technical solutions and other projects supporting the division and region</li>
<li>Supports executive reporting through the creation of presentations, proposals and other documents</li>
<li>Prepares and presents service level updates and status reports on Projects, Wintel Issues, Budgets, etc.</li>
<li>Experienced and effective ability to propose, refine and implement project standards, policies and procedures</li>
<li>Understands and promotes key IT processes (ex. Incident Management, Change Management, Problem Management, Configuration Management, Service Level Management, Capacity Management, etc.)</li>
<li>Proficiency with MS Office products (i.e. Microsoft Word, Excel, PowerPoint, Visio &amp; Project)ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ </li>
</ul>
<p>ÃÂ <b>Vendor &amp; Customer Management</b></p>
<p><b>ÃÂ </b></p>
<ul>
<li>Manages the selection, purchase and installation of Windows devices, applications and related systems</li>
<li>Negotiates and manages vendor agreements, contracts and major expenditures</li>
<li>Meets with vendors to discuss and address infrastructure problems, projects and administrative issues</li>
<li>Manages service levels through the creation and implementation of standards, policies and procedures</li>
</ul>
<p>ÃÂ </p>
<p><b>Preferred Skills/Experience</b><b>:</b></p>
<p>ÃÂ </p>
<ul>
<li>ITIL &amp; PMP certifications</li>
<li>Touch typing</li>
</ul>
<p><b>ÃÂ </b></p>
<p><b>Expectations</b><b>:</b></p>
<p>ÃÂ </p>
<ul>
<li>Superior written and verbal communication skills</li>
<li>Strong interpersonal skills and ability to work well within a team</li>
<li>Provide on-call support and customer service 24x7x365 as needed (via Laptop, cell phone, home phone, etc.)</li>
<li>Remain professional, positive and patient at all times</li>
<li>Detail oriented and committed to meeting deadlines</li>
<li>Must be flexible, dependable and able to multi-task</li>
<li>Solve problems quickly and effectively</li>
<li>Stay calm in high risk, high pressure situations</li>
<li>Thrive in a fast-paced environment</li>
<li>Maintain shift/schedule flexibility</li>
<li>Stay abreast of current technological developments/trends</li>
<li>Ability to think on your feet and maintain service levels at all times</li>
<li>Ability to have fun in a hectic environment and put customer needs first</li>
<li>10% travel in support of site, regional and managerial priorities</li>
</ul>
<p>ÃÂ </p>
<p><b>Physical Demands</b><b>:</b></p>
<p>ÃÂ </p>
<p>The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.</p>
<p>ÃÂ </p>
<p>While performing the duties of this job, the employee is regularly required to sit, talk and hear. The employee is frequently required to walk and use hands to finger, handle or feel. The employee is occasionally required to stand and reach with hands and arms. The employee must periodically lift and/or move up to 70 pounds. Specific vision abilities required by this job include close vision, distance vision and ability to adjust focus.</p>",,f,t,t,,,,,,f,t
207,Senior Developer,"GB, LND, Hoxton",Engineering,,"<p>importÃ¢ÂÂ¢io was founded in 2012 by David White (CEO), Andrew Fogg (CDO) and Matt Painter (CTO) with a unique vision: to make the power of data available to everyone. Headquartered in both London and San Francisco, we employ a diverse team of individuals who are excited about bringing structure to the web and making web data more accessible.</p>","<p>importÃ¢ÂÂ¢io is on the hunt for a senior developer to join our start-up London based team.</p>
<p>WeÃ¢ÂÂre looking for someone who loves data, performance and algorithms, and wants to do some truly innovative work in the field of adding semantic understanding to data.</p>
<p>You should be totally comfortable with:</p>
<ul>
<li>Java &amp; the JVM - including NIO</li>
<li>bytecode and runtime bytecode manipulation</li>
<li>modular design patterns, such as OSGi</li>
<li>Web browser stacks - including HTML, HTTP, and Javascript - Rhino experience a bonus</li>
<li>designing and creating heuristic algorithms in the field of pattern recognition, both in structured and unstructured data</li>
<li>studying and optimizing existing algorithms</li>
<li>data-driven approaches to optimization of code and algorithms</li>
<li>machine learning based pattern recognition</li>
<li>feedback loop algorithmic approaches</li>
<li>Linux</li>
</ul>","<ul>
<li>Dedication to quality-oriented practices like code reviews and pair programming</li>
<li>Masters/Doctorate in computer science</li>
<li>5+ years of experience</li>
<li>Experience with agile methodologies and fast paced / startup environments</li>
<li>Contributions to open source projects</li>
</ul>","<p>It is essential that you also have a killer attention to detail, bags of motivation, a proactive attitude, and the desire to offer up ideas for improvements.</p>
<p>Your salary will be very competitive and commensurate with skill and experience, and we offer health &amp; dental insurance.</p>
<p></p>
<p>About Us</p>
<p>importÃÂ·io is a hugely exciting startup that is shaking up the world of data. Founded in June 2012, importÃÂ·io is rapidly making a name for itself as a new way to access data from the web. We have a great user base and were most recently the winners of the Beta PITCH competition at Web Summit in Dublin and one of the top 4 finalists of the Startup Battlefield at TechCrunch Disrupt Berlin. Backed by top European VCs and Valley-based Angel investors, we are well placed to make a big impact in the world of data.</p>",f,t,t,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Engineering,f,t
781,Data Entry Clerk,"US, GA, North Atlanta",,,,"<p>We are seeking individuals to be connected with companies who are hiring employees directly to work from their homes. You will find both full-time and part-time opportunities in a variety of career fields including but not limited to: data entry, customer support, billing, typing, and administrative.<br><br>These positions guarantee wages ranging from $12 per hour up to six figure salary. This includes bonuses, benefits, and flexibility over your work schedule.<br><br>Legitimate work from home jobs are going to require that you have skills relevant to the position <br><br>youÃ¢ÂÂre applying for. Training is provided based on the position.</p>",<p>Home Office Supplies<br><br>Computer with internet access<br>Quiet work area away from distractions<br>Must be able to work independently and get the job done with little guidance.</p>,,t,f,f,,Entry level,Some High School Coursework,,Administrative,t,t
484,Senior Web Developer (Back End/Infrastructure),"GR, I, Athens",Web Development,,"<p>Offerial is a hospitality technology startup helping hotels improve sales, marketing, customer satisfaction and loyalty through personalization.</p>
<p>Our product enables hotels to convert more hotel website visitors in to bookings, and avoid paying large commissions to #URL_f7c3db02a9e96f06ba0d3ee82ae77828e0071e332d7de8dcdf23c68f8bb689d0#, Expedia and other similar, who until now generate most hotel bookings in the world.</p>
<p>For more information about the company, please visit our website: <b><a href=""#URL_acc4bfeab4e0ddd9be7e5a764c64a24ec303749a692e7e2c9e6b8da1ca9bde9e#"" rel=""nofollow"" class=""external"">#URL_b52a2c4345129decacb3d678d3df65b7f2ccf7260a41a0f6abf730bf22a4f334#</a></b></p>
<p><b>Why work at Offerial</b></p>
<p>A startup company is different than a big company. Startups are teams of excellent people that develop products to solve a need or a pain of thousands or millions of customers with repeatable &amp; scalable business models. Most of the product features a startup team develops will get thrown away very quickly and replaced by newer, better ones, others will be modified, and maybe the entire startup will pivot to an entirely new direction at some point in its life cycle.</p>
<p>Team members in a startup like Offerial must understand that there are no role limitations &amp; no concrete job descriptions as one might expect to find in large(r) companies. Team members may start doing a certain job when they join the team and may end up 6 months later doing something completely different and this is perfectly normal. Actually, we love it when this happens!</p>
<p>We love people who have a short learning curve that have the habit of learning new things (even things that may seem of no importance), people who are open to new ideas as well as lean &amp; agile.</p>
<p>We deeply appreciate people who are able to let go and not get attached on things they worked really hard to achieve, if the new one is better, and in general people constantly excited by change, new challenges and the ""impossible situations"" where for the first few hours/weeks there doesn't be to be a solution to a problem!</p>
<p>We do not judge people's abilities based on university degrees or fancy titles. We only care about each person's satisfaction &amp; ability to deliver and to strive at what we do.</p>","<p>We are seeking a bright and capable Senior Web Developer to work on our core products, for architecting, deploying, and maintaining systems in a live, high-traffic environmentÃ¢ÂÂ. The Developer should also have the ability to meet challenging deadlines and demonstrate a willingness to learn new skills.Ã¢ÂÂ<b></b></p>","<ul>
<li>Fluent in English</li>
<li>5y professional experience in Web Development</li>
<li>Strong knowledge of PHP/ MySQL</li>
<li>ÃÂ£ÃÂÃÂÃÂ¿ÃÂ½ÃÂ³ ÃÂºnowledge of JAVA</li>
<li>Knowledge of NoSQL databases and Big Data infrastructure</li>
<li>Knowledge of Cloud and Hosting Infrastructure</li>
<li>Can work for highly scalable/ high-traffic applications</li>
<li>Organized and positive</li>
<li>Love clean code</li>
<li>Willingness to learn new skills</li>
</ul><p></p>
<p><b>Addition qualifications (optional):</b></p>
<ul>
<li>System Administration</li>
<li>Knowledge of #URL_a58bd7bd48420a1f4774598bc5f1451bdcc79baee91a357c1d69e8aede501d73#</li>
<li>Familiar with Linux</li>
<li>Familiar with version control (Git)</li>
<li>Familiar with asana</li>
</ul>","<ul>
<li>Competitive salary and Option Pool scheme</li>
<li>Paid vacation according to Greek law, plus public holidays</li>
<li>Access to free books and resources for professional and personal development</li>
<li>Opportunities to attend conferences, internal and external trainings, workshops, etc.</li>
<li>Vibrant company culture, weekly team events and more!</li>
</ul>",f,t,t,Full-time,Not Applicable,Unspecified,Information Technology and Services,Information Technology,f,t
26,"Account Sales Managers $80-$130,000/yr","US, NY, Binghampton",,,"<p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.</p>","<p><b>We provide No Credit Check Financing to customers of Small and Medium size Businesses and can help 90% of the industries from Auto Mechanics to Dentists and Lawyers.</b><br><b>We are seeking skilled Account Managers to grow with us and help us achieve our goals in this new and exciting industry.</b><br><b>This is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.</b><br><b>Our people enjoy a flexible work environment. High earnings with great incentives like corporate retreats and quick advancement opportunities.</b></p>","<p><b><i>Experience and Skills ÃÂ Required</i></b><br><br>- Minimum of 3 years of sales experience<br>- Ability to work in a home office environment<br>- Exceptional speaking, writing, and negotiation skills<br>- You must be a motivated self starter and instil that others<br>- College degree</p>","<p><i><b>We Provide</b></i><br>- Complete online training and office support<br>- Flexible working environment<br>- An exciting and lucrative opportunity for those with a proven results background<br>- Rapid advancement for those highly motivated<br>- Average yearly income of $80-$130,000 based on our straight commission compensation model<br><br><br></p>",f,t,f,Full-time,Associate,High School or equivalent,Financial Services,Business Development,t,t
517,Business Analyst,"US, CA, San Francisco",,,,"<p><b>Skills:</b></p>
<p>Nagios-</p>
<p>Unix scripting-</p>
<p>Perl-</p>
<p>Bash-</p>
<p>LinuxÃÂ  (Redhat)-</p>
<p>Chef-</p>
<p>ÃÂ </p>
<p><b>Job Description:</b></p>
<ul>
<li>Responsible for maintaining and improving a high-volume monitoring and metrics infrastructure based on Nagios</li>
<li>for monitoring, and collectd, collection3 and Graphite for metrics.</li>
<li>Typical tasks involve maintaining and adding to Nagios configurations, creating custom monitoring scripts and building out bleeding-edge open-source tools such as mod_gearman and Thruk.</li>
<li>Work also involves system performance analysis and communicating regularly with project and support teams to develop new monitors and keep the monitoring system in line with code updates and site developments.Ã¢ÂÂ¨Ã¢ÂÂ¨</li>
</ul><p>ÃÂ </p>
<p><b>Required skills: </b></p>
<ul>
<li>Strong unix scripting. Bash and Perl are must-haves, any skill with Ruby is a big plus.</li>
<li>Strong linux system administration (Redhat). Solid ability to troubleshoot a variety of performance issues and other problems, from slow disk response to running out of file descriptors.</li>
<li>Strong understanding of init scripts, creating new filesystems, /proc and other sysadmin essentials.</li>
<li>Experience with monitoring. Nagios experience is a huge plus, but experience with another major monitoring system will suffice.</li>
<li>Must know the in and outs of creating monitors, setting thresholds and sending notifications.</li>
<li>Experience with any metrics application, such as RRDTool, Cacti or MRTG.</li>
<li>Chef config experience with Nagios will be plus.</li>
<li>Able to troubleshoot network problems from the system perspective, such as identifying dropped packets or high latency that traces back to a particular network device. Ability to capture and analyze network traffic across a particular interface is a big plus.</li>
<li>Familiarity with SNMP.ÃÂ  Understanding of how to use snmpget and snmpwalk and work with the output.</li>
<li>Ability to work closely with development and support groups to define new monitoring needs</li>
<li>Hands on experience with Chef. Building Nagios configs using Chef is a plus.</li>
</ul><p>ÃÂ </p>
<p></p>","<p><b>Good-to-have skills:</b></p>
<ul>
<li>Ability to create a custom rpm (big plus)</li>
<li>Experience with RRDs.</li>
<li>Apache administration experience. Able to define a new virtual host and handle other basic configuration updates.</li>
<li>Experience with subversion. Able to check in/out, check logs, perform merges, etc.</li>
<li>Familiarity with SQL. Able to run remote queries against a database and incorporate such queries into a script.</li>
<li>An understanding of yum repositories.</li>
</ul>",,f,f,f,Contract,Mid-Senior level,,Information Technology and Services,Information Technology,f,t
445,Android Developer,"NZ, N, Auckland",,70000-90000,"<p>Retailers around the world are constantly working to keep customers coming into their stores. ItÃ¢ÂÂs not a new challenge, but itÃ¢ÂÂs one thatÃ¢ÂÂs getting harder and harder. With increasing numbers of competitors across all sectors and the added competition from online business, todayÃ¢ÂÂs retailer needs to work even harder for foot traffic.<br><br>We set out with one simple goal: to give retailers an advantage in this ever-toughening market.<br><br>WeÃ¢ÂÂre team of people that are passionate about technology and innovation and we saw a massive opportunity for retailers to be making use of the advantages that mobile affords them.<br><br>Our head office is based in Auckland, New Zealand where our development team and much of the businessÃ¢ÂÂs management team are based. We also have staff and offices in Australia, United Kingdom, Singapore and The United States.</p>","<p>VMob creates mobile commerce software for global retail businesses and their agencies, and you could be the next to join an extremely successful, vibrant, professional &amp; hard working team.</p>
<p>VMob is looking for an Android Mobile Developer to join a highly-talented, fast-growing delivery team working at the forefront of cloud services.</p>
<p></p>","<p>VMob creates mobile commerce software for global retail businesses and their agencies, and you could be the next to join an extremely successful, vibrant, professional &amp; hard working team.</p>
<p>Based at our Headquarters in AucklandÃ¢ÂÂs Wynyard Quarter innovation precinct, this is a role where you can really make a difference;</p>
<p>This role will be working closely with our platform team.</p>
<p><b>As our Android Mobile Developer, you will bring:</b></p>
<ul>
<li>Mastery of Android development</li>
<li>Excellent software design skills</li>
</ul><p><b>Ideally you will have experience in:</b></p>
<ul>
<li>Test, deployment and packaging automation</li>
<li>Geo-enriched app development</li>
<li>SDK design, delivery, and 3rd party developer support</li>
</ul><p>If you fulfil the requirements and are excited about the potential of the role, then please apply now. We look forward to hearing from you.</p>
<p>ÃÂ </p>","<ul>
<li>Auckland Waterfront location</li>
<li>High profile projects, latest technology</li>
<li>Very strong team, fast growing business</li>
</ul>",f,f,f,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,f,t
873,Receptionist,"GB, , ",,,,"<p>We the Montcalm Hotel are looking for the position of a Receptionist to work here in London, Interested persons are encouraged to send their resume application for immediate consideration.</p>",<p>Good Requirement</p>,"<p>Package: Basic salary ranges from GBP2500 - 6000GBP monthly dependent on experience level , plus attractive Stock Grant ( from day one ) , Target Bonus (circa 20 % at present) and other company benefits . Employment Benefits also includes meals . Full summary of the entire package will be mailed qualified before the resumption of service to the applicant.</p>",f,f,f,Full-time,Entry level,,Hospitality,,t,t
893,ADMINISTRATIVE & OFFICE ASSISTANT,"US, TX, Houston",,,,"<p>ADMINISTRATIVE &amp; OFFICE ASSISTANT</p>
<p>JOB DESCRIPTION</p>
<p>An exciting growth opportunity for an assistant, who will assist in the daily operations (customer service, office assistant, administrative tasks).</p>
<p><br>QUALIFICATIONS</p>
<p>Must have experience in fast pace and dynamic office environments.</p>
<p>Extremely detailed oriented, Highly organized and Results oriented.</p>
<p>Excellent communication skills/telephone etiquette.</p>
<p>Ability to multi-task, prioritize and work on a very dynamic and changing environment.</p>
<p>Excellent communication skills, written and oral.</p>
<p>Attitude to Solve problems, work INDEPENDENTLY and minimum supervision.</p>","<p>Primary Responsibilities include but not limited to:</p>
<p>Providing clerical support (filing systems, faxing, office daily maintenance, supplies).</p>
<p>Organize &amp; maintain Office.</p>
<p>Assist with schedules, calendars and other related tasks.</p>
<p>Assist with all paperwork.</p>
<p>Answer customer's calls, returns, manage orders, logistics details and solve related problems.</p>","<p>You would be eligible to Benefits after 1 months of working with the company, Benefits offered are Health Insurance / Vacations / Bonuses and this job offers Flexible hours.</p>",f,f,f,,Entry level,,,Administrative,t,t
426,Old Trafford Warehousing Apprenticeship Under NAS 16-18 year olds only,"GB, , Manchester",,,"<p>Established on the principles that full time education is not for everyone Spectrum Learning is made up of a team of passionate consultants with the drive for putting people who wish to grow themselves through education whilst working into long term and relevant job roles.</p>
<p>We also are official re-sellers for <a rel=""nofollow"" class=""external"">The Institute of Recruiters</a>/ <a rel=""nofollow"" class=""external"">Study Course</a> professional courses in HR Practice, In-House Recruitment and Agency Recruitment</p>
<p>It is our mission to help anyone wishing to pursue an apprenticeship onto the right qualification and into the right job.</p>
<p>We work closely with both the candidate and the employer to ensure when the learner is enrolled they are at the start of a long and successful career.</p>
<p>We have great relationships with a number of national training providers to ensure we can cover any apprenticeship available.ÃÂ <b>ÃÂ </b></p>","<p>This is fantastic opportunity for someone wanting to start their career in Warehousing. During the first 12 months you will work towards a Level 2 Warehousing NVQ and then be kept on in a permanent position.</p>
<p>ÃÂ </p>
<p>You will be working for a D.I.Y company and the role will involve:</p>
<p>ÃÂ </p>
<p>-Picking and packing orders</p>
<p>-Using machinery to scan labels</p>
<p>-Will be using non motorised pallet trucks</p>
<p>- Stock checking</p>
<p>ÃÂ </p>
<p>Ideal candidates will be hand on and able to work well as part of a team.</p>
<p>ÃÂ </p>
<p>If you are honest and hard working please apply now!</p>",<p>Government funding is only available for 16-18 year olds as this job is an apprenticeship.</p>,<p>Career prospects</p>,f,t,t,,Not Applicable,High School or equivalent,,,f,t
734,Customer Service Representative,"US, NY, New York",Data entry,20-25,,"<p>Burrell Behavioral Health is seeking qualified candidates for a Customer Service Representative positions at three clinics : Transitions, Main Center for Adults, and Medical Towers. These positions require a strong verbal and communication background, assessing caller needs and fielding calls appropriately, as well as computer literacy to provide a high level of service. Experience with multi-line phone systems is preferred. Must be able to multi-task, problem solve quickly, work independently, and have excellent computer skills. The ideal candidate will have advanced skills in Excel, Word and Outlook.<br><br><br><br><br><br>MAKE A DIFFERENCE, APPLY TODAY!<br><br><br><br><br><br></p>","<p><br>This position offers a comprehensive benefit package, including:<br><br>-Health and Dental Insurance -Paid Vacations<br><br>-Life and Disability Insurance -Professional Liability Insurance<br><br>-Retirement Plan</p>","<p>Benefits: Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k #URL_c801649eeb4007728c8f41b2d6629d92c2295ff77e1f2d401d7696ce3569db63# Time Off and Holidays with Generous Company Discounts</p>",f,f,f,Part-time,Entry level,Unspecified,Consumer Services,Administrative,t,t
159,Customer Service Associate ,"US, CA, Newbury Park",,,"<p>Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction.<br><br> For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.</p>","<p>The Customer Service Associate will be based in Newbury Park, CA. The right candidate will be an integral part of our talented team, supporting our continued growth.</p>
<p><b>Duties and Responsibilities:</b></p>
<ul>
<li>Assist as needed: Prepare materials for mailing including: applying postage, preparing items for shipment or collection, distributing items as needed, ensuring items are properly labeled and documenting data according to management guidelines.</li>
<li>Assist as needed: Perform start-up and operations of postage equipment</li>
<li>Assist as needed: Sort, deliver and pick-up mail and packages utilizing mail cart according to established time frames and service standards</li>
<li>Sort Return Mail</li>
<li>Sort and prepare print work for insert process</li>
<li>Manual stuff insert jobs</li>
<li>Manage forms supply for insert jobs</li>
<li>Assist with loading and unloading of deliveries as needed</li>
<li>Maintain shipping and receiving area as required</li>
<li>Maintain all logs and reporting documentation as required</li>
<li>Assist as needed: Receive and log all incoming items, letters, checks and packages, including certified, registered, return receipt, Accountable shipments</li>
<li>Assist as needed: Keep manager advised of associate or employee moves or requests, and other related matters</li>
<li>Assist as needed: Coordinate special messenger services, air freight, etc.</li>
<li>Adhere to company policies, business guidelines and safety procedures</li>
<li>Participate in cross training and perform other duties as assigned</li>
</ul>","<p><b>Requirements:</b></p>
<ul>
<li>Good Customer Service &amp; communication</li>
<li>able to walk &amp; push cart on several floors</li>
<li>able to carry paper boxes and package delivery.</li>
<li>follow directions given by Team Lead and Manager</li>
<li>Complete task within deadlines</li>
<li>dress professional-business casual and participate in Huddles</li>
<li>Maintain daily tracking and metrics</li>
<li>1 year customer service related experience preferred</li>
<li>minimum 1 year related experience preferred</li>
</ul>",,f,t,f,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,f,t
225,Accountant ,"GB, LND, ",,,"<p>Conversocial is a social customer service software tool for Facebook and Twitter, used by companies including Sephora, Groupon, Tesco, Net A Porter, McDonalds and more. We help our customers deliver great customer service through social channels by enabling them find and respond to real issues faster and more effectively - decreasing negative sentiment and the risk of social media disasters whilst saving time and giving greater customer insight.</p>","<p><b>Conversocial is a rapidly-expanding tech startup, growing its London and New York offices on the back of $4m venture capital funding. To cope with the increasing complexity of our global business, we are looking to bring all day-to-day accounting and book-keeping functions in-house, having outsourced this to an external accountancy firm since we started out.</b></p>
<p>While it is important that the applicant is suitably trained in accountancy, we are looking for someone who can also become an important part of our wider operations and help keep order and provide useful reporting and financial guidance to the business as we grow beyond our current 30+ strong staff.</p>
<p><b>Key aspects of the role:</b></p>
<ul>
<li>Invoice enterprise clients for our software-as-a-service</li>
<li>Verify bookings made by our sales team, track signed contracts</li>
<li>Produce monthly management accounts</li>
<li>Report on debtors, and chase debts to keep amounts outstanding to a minimum</li>
<li>Reconcile bank and credit card accounts</li>
<li>Monitor cashflow forecasts</li>
<li>Set up weekly pay run, quarterly VAT return</li>
</ul>
<p><b>Work with others:</b></p>
<ul>
<li>Help department managers track and comply with annual budgets</li>
<li>Work with our CFO to refine our forecasting and reporting</li>
<li>Liase with external accountants for annual accounts and other specialist functions such as R&amp;D tax credits</li>
<li>Work alongside part-time outsourced US HR/book-keeper to incorporate accounts from our secondary US office</li>
</ul>
<p><b>Streamline business processes:</b></p>
<ul>
<li>Keep track of supplier rates and contracts, ensuring we can maximise our purchasing power and cashflow advantage</li>
<li>Refine staff expenses rules, plus process to approve and reimburse</li>
<li>Ensure staff payroll and pension runs smoothly, managing communications to employees</li>
</ul>
<p>As the ideal candidate, you will intuitively understand where strict process and procedure can help things move more efficiently, and where they can just be a nuisance that stifles innovation and growth. You will be sufficiently interested in the business itself to make decisions largely autonomously and for the benefit of the company. Conversocial prides itself on being a great place to work, and you will have the opportunity to impact every other function in the business - so a friendly, personable, and considerate person will enjoy this role.</p>
<p>We use Xero web-based accountancy software. Internally we use Salesforce, and intend that you would help ensure our financial data is readily available to the rest of the company through that. Good spoken and written English is important, as are Excel and general IT skills.</p>
<p>We are happy to consider any relevant qualifications from enthusiastic candidates (including part-qualified) with the potential to learn quickly.</p>
<p></p>",,"<p><b>Remuneration:</b></p>
<p>Salary guide &pound;30k-40k depending on experience, plus stock options</p>",f,f,f,,,,,,f,t
